1:1:1	الٓمٓصٓ	P	INL|
20:14:1	رَبُّ	N	ROOT:ربب|LEM:رَبّ|M|NOM
20:14:2	كُمَا	N	PRON|SUFF|2D
20:15:1	عَنْ	P	P|LEM:عَن
20:16:1	هَٰ	P	ATT|PREF|LEM:ه
20:16:2	ذِهِ	N	DEM|LEM:ذا|FS
20:17:1	ٱل	P	DET|PREF|LEM:ال
20:17:2	شَّجَرَةِ	N	ROOT:شجر|LEM:شَجَرَة|F|GEN
20:18:1	إِلَّآ	P	RES|LEM:إِلّا
20:19:1	أَن	P	SUB|LEM:أَن
20:20:1	تَكُونَ	V	IMPF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|2D|MOOD:SUBJ
20:20:2	ا	N	PRON|SUFF|2D
20:21:1	مَلَكَيْنِ	N	ROOT:ملك|LEM:مَلَك|MD|ACC
20:22:1	أَوْ	P	CONJ|LEM:أَو
20:23:1	تَكُونَ	V	IMPF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|2D|MOOD:SUBJ
20:23:2	ا	N	PRON|SUFF|2D
20:24:1	مِنَ	P	P|LEM:مِن
20:25:1	ٱلْ	P	DET|PREF|LEM:ال
20:25:2	خَٰلِدِينَ	N	ACT_PCPL|VF:1|ROOT:خلد|LEM:خالِد|MP|GEN
21:1:1	وَ	P	CONJ|PREF|LEM:و
21:1:2	قَاسَمَ	V	PERF|VF:3|ROOT:قسم|LEM:قاسَمَ|3MS
21:1:3	هُمَآ	N	PRON|SUFF|3D
21:2:1	إِنِّ	P	ACC|LEM:إِنّ|FAM:إِنّ
21:2:2	ى	N	PRON|SUFF|1S
21:3:1	لَ	P	P|PREF|LEM:ل
21:3:2	كُمَا	N	PRON|2D
21:4:1	لَ	P	EMPH|PREF|LEM:ل
21:4:2	مِنَ	P	P|LEM:مِن
